POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Dealer,0,0,3,BHK,1510.333863,1,1,"Zirakpur,Chandigarh",30.662283,76.822397,38.0
Owner,0,0,2,BHK,876.1449622000001,1,1,"Rohta,Agra",45.454324,9.203633,22.0
Owner,0,1,2,BHK,1200.331126,1,1,"Sirol,Gwalior",25.728593,78.457598,29.0
Dealer,0,0,1,BHK,670.0915792000001,1,1,"SECTOR 5 TALOJA,Lalitpur",19.148338,72.995687,30.0
Owner,0,0,3,BHK,1450.209475,1,1,"Basavanna Nagar,Bangalore",15.333254,75.14395400000001,90.0
Dealer,0,1,2,BHK,590.6593407,1,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,25.8
Dealer,0,0,3,BHK,1345.198675,1,1,"Kakkanad,Kochi",9.930471,76.271273,65.0
Dealer,1,1,2,BHK,751.4866366,0,1,"Bangur Nagar,Mumbai",15.881015,78.40652800000001,230.0
Dealer,0,0,4,BHK,2099.65528,1,1,"Aluva,Kochi",10.159679,76.38519000000001,67.0
Dealer,0,0,2,BHK,1263.565891,1,1,"Kundli,Sonipat",28.874383,77.113251,32.6
Owner,0,0,2,BHK,1160.381268,1,1,"Sunpharma Road,Vadodara",22.3,73.2,28.0
Dealer,1,1,4,BHK,1642.838114,0,0,"Mulund (West),Maharashtra",19.1759,72.9522,370.0
Owner,0,0,4,BHK,2250.88518,1,1,"Smriti Nagar,Bhilai",21.215393,81.318232,44.5
Owner,0,1,1,BHK,333.6604514,1,1,"Kalindipuram,Allahabad",25.426143,81.768024,17.0
Dealer,0,0,2,BHK,978.8218544,1,1,"Dahisar (East),Lalitpur",19.256471,72.868815,110.0
Owner,0,1,2,BHK,1089.494163,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,42.0
Dealer,1,1,2,BHK,860.1889992999999,0,1,"Chikhali,Pune",19.085225,73.661835,35.5
Owner,1,1,3,BHK,1349.295775,0,1,"Sector - 22 Dharuhera,Dharuhera",28.595305,77.347365,47.9
Owner,0,0,2,BHK,850.2598016000001,1,1,"Rabindra Nagar,Asansol",23.692053,86.944846,18.0
Owner,0,0,2,BHK,666.9630947,1,1,"Melpakkam,Chennai",13.188306,80.074263,30.0
Dealer,1,1,3,BHK,1679.790026,0,1,"Borivali (East),Lalitpur",19.235,72.8598,320.0
Dealer,0,0,3,BHK,1509.951956,1,1,"Sarjapur Road,Bangalore",12.86,77.786,88.0
Dealer,0,0,3,BHK,2119.868954,1,1,"Sector-82 Gurgaon,Gurgaon",28.392686,76.959391,110.0
Owner,0,0,1,BHK,550.0758725,1,1,"Ajwa Road,Vadodara",22.3,73.2,14.5
Dealer,0,1,2,BHK,1093.613298,1,1,"Jankalyan Nagar,Lalitpur",24.69028,78.41889,150.0
Owner,0,0,3,BHK,1649.917504,1,1,"Sector-22 Gandhinagar,Gandhinagar",23.235367,72.65756400000001,110.0
Dealer,1,1,2,BHK,845.0704225,0,1,"Kasar vadavali,Mumbai",18.205923,72.99918199999999,75.0
Dealer,0,0,3,BHK,1920.0,1,1,"Avinashi Road,Coimbatore",11.19528,77.26861,120.0
Dealer,0,0,2,BHK,1065.06584,1,1,"GM Palaya,Bangalore",50.817397,4.42145,55.0
Dealer,0,0,1,BHK,690.0120752,1,1,"Kalyan (West),Maharashtra",19.245347,73.124577,40.0
Dealer,0,0,1,BHK,640.0,1,1,"Sector 21 Ulwe,Lalitpur",28.5889,77.3352,48.0
Dealer,0,1,2,BHK,1019.021739,1,1,"Sector-100 Noida,Noida",28.542768,77.365736,60.0
Dealer,0,0,2,BHK,1100.0,1,0,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,44.0
Owner,0,0,2,BHK,1200.0,1,1,"Kharar,Mohali",30.74,76.65,24.0
Dealer,0,0,3,BHK,2419.5499640000003,1,1,"C-Scheme,Jaipur",26.91667,75.86667,200.0
Owner,0,1,2,BHK,895.2551477,1,1,"Hoshangabad Road,Bhopal",22.75,77.72,20.0
Owner,0,0,2,BHK,1119.94806,1,1,"Sarjapur Road,Bangalore",12.86,77.786,69.0
Dealer,0,0,4,BHK,3410.5329950000005,1,1,"Kalyani Nagar,Pune",18.5481,73.8995,430.0
Owner,0,0,2,BHK,1045.016077,1,1,"Yelachenahalli,Bangalore",12.96991,77.59796,52.0
Dealer,0,0,1,BHK,685.0152905,1,1,"Roadpali,Maharashtra",19.040066,73.115347,56.0
Owner,0,0,3,BHK,1910.219675,1,1,"Gunjur,Bangalore",12.923762,77.736688,80.0
Owner,0,1,3,BHK,1382.488479,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,36.0
Owner,0,0,3,BHK,2450.348207,1,1,"Harlur,Bangalore",12.928575,77.58572099999999,95.0
Dealer,0,0,3,BHK,1141.900122,1,1,"Action Area I,Kolkata",22.54111,88.33778000000001,75.0
Dealer,0,0,2,BHK,950.0113097,1,1,"Raheja Vihar,Lalitpur",24.69028,78.41889,210.0
Dealer,0,0,4,BHK,2450.0421100000003,1,1,"Lokhandwala Kandivali East,Mumbai",19.1955,72.8728,320.0
Owner,0,0,3,BHK,1199.82548,1,1,"Indirapuram,Ghaziabad",28.63676,77.36315,55.0
Dealer,0,0,2,BHK,950.0,1,1,"Mira Road,Lalitpur",19.283359,72.864964,76.0
Owner,0,0,2,BHK,980.0,1,1,"Hinjewadi,Pune",18.5853,73.7413,49.0
Dealer,0,0,3,BHK,1732.201628,1,1,"Vaibhav Khand,Ghaziabad",28.9196,76.8972,100.0
Dealer,0,0,1,BHK,525.0016006,1,1,"Lokhandwala Kandivali East,Lalitpur",19.1955,72.8728,82.0
Dealer,0,0,2,BHK,897.6464149,1,1,"Ankur Vihar,Ghaziabad",28.66667,77.41667,16.4
Owner,0,0,2,BHK,1060.220526,1,1,"Ganesh Nagar,Jaipur",26.89364,75.775453,25.0
Dealer,0,0,1,BHK,650.0436596,1,1,"Kharghar,Maharashtra",19.038205,73.06612,67.0
Dealer,0,1,4,BHK,2809.482002,1,1,"Sector-107 Noida,Noida",28.546788,77.37849399999999,160.0
Owner,0,0,3,BHK,1199.82548,1,1,"Indirapuram,Ghaziabad",28.63676,77.36315,55.0
Dealer,0,1,3,BHK,1860.407352,1,1,"Zirakpur,Chandigarh",30.662283,76.822397,74.9
Owner,0,0,2,BHK,1166.373239,1,1,"Bhayli,Vadodara",22.288976,73.128222,26.5
Owner,0,0,1,BHK,454.9902153,1,1,"Pilkhuwa,Ghaziabad",28.71197,77.65446,9.3
Owner,0,0,2,BHK,670.0167504,1,1,"Warje Malwadi,Pune",18.478368,73.79957900000001,36.0
Owner,0,1,3,BHK,1523.318491,1,1,"Hosa Road,Bangalore",12.863589,77.656426,130.0
Owner,0,0,2,BHK,964.5061728,1,1,"Ankleshwar,Bharuch",21.6,73.0,12.5
Dealer,0,1,2,BHK,813.0081301,1,1,"Katara Hills,Bhopal",23.185756,77.498465,16.0
Dealer,0,0,2,BHK,990.2546369,1,1,"Calangute,Goa",15.545,73.76306,63.0
Dealer,0,1,2,BHK,1762.92222,1,1,"Rajaji Nagar,Bangalore",12.9847,77.5491,250.0
Dealer,0,0,2,BHK,697.932874,1,1,"Uttarahalli,Bangalore",12.90579,77.54264,31.4
Dealer,0,0,3,BHK,2230.15165,1,1,"Koregaon Park,Pune",18.5333,73.9,300.0
Dealer,0,1,2,BHK,1190.028811,1,1,"Mogappair,Chennai",13.07265,80.176063,95.0
Dealer,0,1,4,BHK,2978.7762190000003,1,1,"Eon Free Zone,Pune",18.5511925,73.94993649999999,240.0
Dealer,0,0,2,BHK,1200.4175369999998,1,1,"Sector 78 Faridabad,Faridabad",28.38016,77.369936,23.0
Owner,0,0,3,BHK,1560.348784,1,1,"Aluva,Ernakulam",10.139252,76.370372,68.0
Dealer,0,0,2,BHK,1091.244859,1,1,"Sector-34A Kharghar,Lalitpur",30.723966,76.766104,130.0
Owner,1,0,2,BHK,979.8157946,0,1,"Sector-108 Noida,Noida",28.526624,77.37671800000001,50.0
Dealer,0,1,2,BHK,542.4020663,1,0,"Virar West,Maharashtra",19.4559,72.8114,50.4
Dealer,0,0,2,BHK,1027.027027,1,1,"Ghodbunder Road,Lalitpur",24.69028,78.41889,95.0
Owner,0,1,3,BHK,1709.98632,1,1,"Sector 35,Sonipat",28.469063,77.308984,75.0
Owner,0,0,1,BHK,495.049505,1,1,"Tambaram,Chennai",12.93,80.11,21.0
Dealer,1,1,2,BHK,1099.989,0,1,"Goregaon (West),Mumbai",19.161955,72.839616,200.0
Dealer,0,0,4,BHK,1400.017231,1,1,"Vile Parle (West),Maharashtra",19.103831,72.837361,650.0
Owner,0,0,2,BHK,1050.019091,1,1,"RK Layout 2nd Stage,Bangalore",12.96991,77.59796,55.0
Owner,0,0,1,BHK,750.1442585,1,1,"Tadwadi,Surat",21.17,72.83,13.0
Dealer,0,0,3,BHK,1862.752403,1,1,"Hiranandani Estate,Maharashtra",19.255098,72.9815265,250.0
Owner,0,1,2,BHK,1000.0,1,1,"Dera Bassi,Chandigarh",30.594843,76.84983000000001,22.0
Owner,0,0,2,BHK,1242.133157,1,1,"Upkar Layout,Bangalore",12.962569,77.48453,75.0
Owner,0,0,1,BHK,555.0416281,1,1,"Jigani,Bangalore",12.778033,77.632191,24.0
Dealer,0,1,3,BHK,908.0350544,1,1,"Bhadra Nagar,Lalitpur",24.862517,78.28246700000001,86.0
Dealer,0,0,4,BHK,1898.663697,1,1,"Noida Extension,Noida",28.579004,77.431173,68.2
Dealer,1,1,2,BHK,1179.8777220000002,0,1,"Kharghar,Lalitpur",24.69028,78.41889,110.0
Dealer,0,0,2,BHK,1311.553595,1,1,"Adarsh Nagar,Pune",18.552878,73.85136,110.0
Dealer,0,0,2,BHK,1100.016923,1,1,"Sector-20 Roadpali,Lalitpur",28.5822,77.3293,130.0
Owner,0,0,3,BHK,1335.0559859999998,1,1,"Anantapuram,Bangalore",12.96991,77.59796,62.0
Builder,1,1,1,BHK,634.375,0,0,"Nasik Road,Maharashtra",19.9476815,73.8418915,20.3
Dealer,1,1,3,BHK,1729.462631,0,1,"Mulund (West),Mumbai",19.1759,72.9522,420.0
Owner,0,0,3,BHK,1646.010844,1,1,"Horamavu Agara,Bangalore",13.0318,77.6583,85.0
Owner,0,1,3,BHK,1824.104235,1,1,"Kudlu Gate,Bangalore",12.88784,77.654131,140.0
Dealer,0,0,2,BHK,1150.0,1,1,"Wakad,Pune",18.5993,73.7625,92.0
Dealer,1,0,3,BHK,1291.557044,0,1,"Mapusa,Goa",15.591970000000002,73.80894,54.0
Owner,0,0,3,BHK,1399.090591,1,1,"Gotri,Vadodara",22.312358,73.145436,40.0
Dealer,0,1,3,BHK,1690.045631,1,1,"Malad (East),Maharashtra",19.1758,72.8643,300.0
Dealer,0,1,1,BHK,464.4990046,1,0,"Wadala,Lalitpur",24.69028,78.41889,140.0
Owner,0,0,3,BHK,1500.115393,1,1,"Neeladri Nagar,Bangalore",12.986987,77.736436,65.0
Dealer,1,0,2,BHK,1299.968524,0,1,"Pragathi Nagar,Bangalore",18.669125,78.10801500000001,41.3
Owner,0,0,3,BHK,1708.17721,1,1,"Rayasandra,Bangalore",12.87004,77.673275,77.5
Dealer,0,0,2,BHK,1470.279353,1,1,"Action Area III,Kolkata",22.54111,88.33778000000001,70.0
Owner,0,0,2,BHK,900.9009009,1,1,"Peth Vadgaon,Kolhapur",16.23585,74.30414,25.0
Dealer,0,0,2,BHK,1225.061253,1,1,"Sector-4 Vaishali,Ghaziabad",28.644695,77.33895600000001,70.0
Dealer,0,0,1,BHK,609.5632072000001,1,1,"Ghodbunder Road,Lalitpur",24.69028,78.41889,50.1
Dealer,0,0,2,BHK,1405.481377,1,1,"Wadala East,Lalitpur",19.014858,72.8662,220.0
Dealer,0,1,2,BHK,1214.285714,1,1,"Tilak Nagar,Lalitpur",28.6396,77.0884,170.0
Dealer,0,0,3,BHK,1459.812553,1,1,"Zirakpur,Chandigarh",30.662283,76.822397,51.4
Dealer,0,0,4,BHK,3000.107147,1,1,"E M Bypass,Kolkata",22.54111,88.33778000000001,280.0
Builder,1,1,3,BHK,800.0,0,0,"Jaganpura,Patna",25.61,85.14139,22.4
Owner,0,0,2,BHK,650.1324344,1,1,"Attibele,Bangalore",12.7768,77.76886999999999,27.0
Dealer,0,1,3,BHK,1590.065874,1,1,"Bhandup (West),Lalitpur",19.147866,72.932609,210.0
Dealer,0,0,2,BHK,699.9941667,1,1,"Vasant Vihar,Mumbai",19.043732,72.90371999999999,120.0
Dealer,0,0,2,BHK,1100.046318,1,1,"Sector 7 Kharghar,Maharashtra",19.035407,73.065449,95.0
Dealer,0,0,3,BHK,1865.2076600000005,1,1,"Sarjapur Road,Bangalore",12.86,77.786,150.0
Dealer,0,1,3,BHK,1846.590909,1,1,"Thanisandra,Bangalore",13.055985,77.622157,130.0
Owner,0,0,3,BHK,1200.0,1,1,"Kharalwadi,Pune",18.623448,73.812348,120.0
Dealer,0,1,2,BHK,668.8590379999999,1,1,"Kapurbawadi,Maharashtra",18.96,72.82,120.0
Owner,1,1,3,BHK,1821.825469,0,1,"Sector-110 Noida,Noida",28.536585,77.383669,100.0
Owner,0,0,1,BHK,645.1612903,1,1,"Pen,Raigad",18.75,73.08,22.0
Owner,0,0,3,BHK,1475.216365,1,1,"Tollygunge,Kolkata",22.5,88.35,75.0
Dealer,0,1,3,BHK,1219.700877,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,47.3
Dealer,0,0,2,BHK,1218.026797,1,1,"Bhoganhalli,Bangalore",12.924893,77.700727,110.0
Owner,0,1,3,BHK,1654.081266,1,1,"Sector 1 Kopar Khairane,Mumbai",19.1034,73.0084,230.0
Dealer,1,1,2,BHK,600.2000667000001,0,0,"Dombivli (East),Maharashtra",19.2167,73.0833,54.0
Dealer,0,0,2,BHK,1191.895113,1,1,"Goregaon (East),Mumbai",19.1615,72.8731,180.0
Owner,0,0,2,BHK,712.0253165,1,1,"Maheshtala,Kolkata",22.486821,88.233267,27.0
Owner,0,0,3,BHK,1975.574713,1,1,"Swaje Farm Sodala,Jaipur",26.904945,75.771012,55.0
Dealer,0,0,1,BHK,595.0095968999999,1,1,"Sector 5 Ghansoli,Lalitpur",22.575343,88.433715,62.0
Dealer,0,0,3,BHK,2500.0,1,1,"Breach Candy,Lalitpur",18.972317,72.806327,2550.0
Dealer,0,0,3,BHK,1799.955693,1,1,"Lower Parel,Maharashtra",18.996305,72.827789,650.0
Owner,0,0,2,BHK,757.2570467,1,1,"Sodepur,Kolkata",22.69995,88.390833,18.0
Dealer,0,0,3,BHK,2119.766826,1,1,"Kharadi,Pune",18.5438,73.9438,160.0
Owner,0,0,3,BHK,915.0326797,1,1,"Mohana Mandi,Jaipur",26.54496,75.58396,35.0
Dealer,1,0,3,BHK,1450.151057,0,1,"B T Road,Kolkata",22.54111,88.33778000000001,72.0
Dealer,0,0,3,BHK,1995.211492,1,1,"New Town,Kolkata",22.5922,88.484911,100.0
Owner,0,0,2,BHK,1296.043656,1,1,"Kankhal,Haridwar",29.892311,78.000723,38.0
Dealer,0,1,3,BHK,1448.040886,1,1,"NH-24 Highway,Ghaziabad",28.66667,77.41667,42.5
Owner,0,0,2,BHK,1250.0,1,1,"Berlie Street,Bangalore",12.97021,77.56029000000001,85.0
Owner,0,1,3,BHK,1652.892562,1,1,"Hosur Road,Bangalore",12.752264,77.45273900000001,130.0
Dealer,0,1,2,BHK,826.9194072,1,1,"Bandra Kurla Complex,Maharashtra",19.051052,72.82778499999999,390.0
Dealer,0,0,2,BHK,1090.512541,1,1,"Vijay Park,Lalitpur",19.26941,72.966637,100.0
Dealer,0,0,3,BHK,1314.196784,1,1,"Dombivli (East),Lalitpur",19.2167,73.0833,76.0
Dealer,0,0,3,BHK,1840.753425,1,1,"Sunny Enclave,Mohali",30.664299,76.817624,43.0
Owner,0,0,2,BHK,1000.0,1,1,"Pedagantyada,Visakhapatnam",17.6672,83.2051,34.0
Owner,0,0,1,BHK,380.0475059,1,1,"shroff road,Rajkot",21.0,77.0,24.0
Dealer,0,0,1,BHK,390.0156006,1,1,"Sector-9 Shanti Nagar,Lalitpur",12.956863,77.599192,42.5
Dealer,1,1,2,BHK,1060.023851,0,1,"Kanjur Marg (East),Mumbai",19.221571,73.042474,160.0
Owner,0,1,4,BHK,2700.049092,1,1,"Sector-75 Noida,Noida",28.576117,77.382136,220.0
Owner,0,0,2,BHK,1500.375094,1,1,"Anand - Sojitra Road,Anand",22.52897,72.716484,20.0
Owner,0,0,3,BHK,1583.113456,1,1,"Gottigere,Bangalore",12.858535,77.590438,90.0
Dealer,0,1,2,BHK,1100.0,1,1,"Nandpuri,Jaipur",26.426535,76.587393,49.5
Dealer,0,0,2,BHK,888.3361464,1,1,"Samata Nagar,Lalitpur",19.206252,72.962035,100.0
Dealer,0,0,3,BHK,1545.064378,1,1,"Vaibhav Khand,Ghaziabad",28.9196,76.8972,72.0
Dealer,1,0,3,BHK,1500.068185,0,1,"M C Layout,Bangalore",12.96991,77.59796,110.0
Dealer,0,0,3,BHK,1733.501737,1,1,"Zirakpur,Chandigarh",30.662283,76.822397,54.9
Owner,0,0,1,BHK,595.1068988,1,1,"Bhisegaon,Karjat",18.911897,73.31840799999999,27.0
Dealer,0,1,3,BHK,2545.008955,1,1,"Balewadi,Pune",18.097689000000003,74.735239,270.0
Dealer,1,1,1,BHK,625.0,0,1,"Hiranandani Gardens - Powai,Mumbai",19.124896,72.89350300000001,150.0
Owner,0,0,3,BHK,1666.666667,1,1,"Brookefield,Bangalore",12.9657,77.7188,100.0
Owner,0,0,3,BHK,1600.134748,1,1,"Sector-93 B Noida,Noida",28.5216,77.3863,95.0
Dealer,0,1,3,BHK,1425.244527,1,1,"Sector-118 Noida,Noida",28.579845,77.403693,61.2
Owner,0,0,3,BHK,1100.025582,1,1,"Oswal Nagar,Ratnagiri",20.936311,74.779335,43.0
Owner,0,0,2,BHK,1110.905388,1,1,"Chinar Park,Kolkata",22.623598,88.441186,60.0
Owner,0,0,3,BHK,1205.141939,1,1,"Abbigere,Bangalore",13.07667,77.525,45.0
Owner,0,0,2,BHK,980.4878049,1,1,"Ambegaon,Pune",19.116670000000003,73.73333000000001,60.3
Owner,1,1,2,BHK,1045.031351,0,1,"Hosa Road,Bangalore",12.863589,77.656426,55.0
Dealer,0,0,1,BHK,750.0,1,1,"Kolshet Road,Mumbai",19.249861,72.96386600000001,60.0
Dealer,0,0,1,BHK,600.0,1,1,"Mahamayatala,Kolkata",22.54111,88.33778000000001,19.2
Owner,1,0,3,BHK,1367.368797,0,1,"Swarjpuri Kendui,Gaya",24.758928,85.009156,38.3
Dealer,0,1,2,BHK,1336.302895,1,1,"Sushant Golf City,Lucknow",26.781748,81.006714,48.0
Owner,0,0,2,BHK,660.0660066,1,1,"9th Phase JP Nagar,Bangalore",35.373870000000004,132.764401,30.0
Dealer,0,1,2,BHK,1200.0,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,40.8
Dealer,0,1,1,BHK,635.1039261,1,1,"Sector-4A Bahadurgarh,Bahadurgarh",29.890963,73.870092,16.5
Owner,0,1,2,BHK,1120.0,1,1,"Khodiyar Nagar,Vadodara",22.239999,73.074686,35.0
Dealer,0,0,2,BHK,1000.0,1,1,"Bhawanipore,Kolkata",22.54111,88.33778000000001,110.0
Owner,0,0,2,BHK,1139.817629,1,1,"Eroor,Kochi",9.965402,76.33268000000001,45.0
Dealer,0,0,2,BHK,882.6666667000002,1,0,"Noida Extension,Noida",28.579004,77.431173,33.1
Dealer,0,0,3,BHK,1510.067114,1,1,"Falnir,Mangalore",12.87028,74.88056,63.0
Dealer,1,0,3,BHK,2666.666667,0,1,"Vijay Nagar,Indore",22.759741,75.88953199999999,200.0
Dealer,0,0,4,BHK,1500.214316,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,35.0
Dealer,1,0,2,BHK,1079.913607,0,1,"New Town,Kolkata",22.5922,88.484911,75.0
Owner,0,0,2,BHK,1095.156972,1,1,"Centre Noida,Noida",28.584466,77.314369,45.0
Dealer,1,1,1,BHK,462.7862595,0,0,"kavesar,Mumbai",18.96667,72.83333,87.3
Owner,0,0,5,BHK,2420.135528,1,1,"Sector-61 Noida,Noida",28.5942,77.3675,150.0
Dealer,0,1,3,BHK,1290.033595,1,1,"Moshi,Pune",18.669919,73.853723,57.6
Owner,0,1,2,BHK,1100.141044,1,1,"Prabandh Nagar,Lucknow",26.931233,80.895237,39.0
Dealer,0,1,3,BHK,1845.31886,1,1,"Sector-78 Noida,Noida",28.560719,77.386208,81.6
Owner,0,1,2,BHK,1320.132013,1,1,"Sarjapur Road,Bangalore",12.86,77.786,80.0
Dealer,0,1,3,BHK,1577.608142,1,1,"Zirakpur,Chandigarh",30.662283,76.822397,55.8
Dealer,0,1,2,BHK,887.2327211000002,1,1,"Balkum,Mumbai",19.222101,72.988231,100.0
Owner,0,0,2,BHK,540.0,1,1,"Hinjewadi,Pune",18.5853,73.7413,27.0
Dealer,0,1,3,BHK,1712.8175850000002,1,1,"sector-121 Noida,Noida",28.602325,77.40199399999999,120.0
Owner,0,0,3,BHK,1961.1891,1,1,"Udayampalayam,Coimbatore",11.009305,76.996081,95.0
Owner,0,0,2,BHK,968.6793671,1,1,"Mandi Sayeed Khan, Near Sanjay Place,Agra",27.18,78.02,30.0
Owner,0,0,1,BHK,450.0450045,1,1,"CV Raman Nagar,Bangalore",12.98556,77.66389000000001,35.0
Owner,0,0,2,BHK,882.9300196,1,1,"Dabha,Nagpur",21.167876,79.006178,27.0
Dealer,0,0,3,BHK,1725.4128670000002,1,1,"Sector-84 Gurgaon,Gurgaon",28.408144,76.963756,70.0
